汤圆,丸子
哈密瓜,西瓜
包子,水饺
汉堡包,肉夹馍
宫锁心玉,宫锁珠帘
步步惊心,宫锁心玉
水盆,水桶
唇膏,口红
森马,以纯
烤肉,涮肉
气泡,水泡
纸巾,手帕
杭州,苏州
香港,台湾
首尔,东京
橙子,橘子
葡萄,提子
太监,人妖
蝴蝶,蜜蜂
小品,话剧
裸婚,闪婚
新年,跨年
牛肉干,猪肉脯
泡泡糖,棒棒糖
小沈阳,宋小宝
土豆粉,酸辣粉
蜘蛛侠,蝙蝠侠
口香糖,木糖醇
酸菜鱼,水煮鱼
小笼包,灌汤包
薰衣草,满天星
张韶涵,王心凌
刘诗诗,刘亦菲
甄嬛传,红楼梦
甄子丹,李连杰
包青天,狄仁杰
大白兔,金丝猴
果粒橙,鲜橙多
吉他,琵琶
公交,地铁
剩女,御姐
童话,神话
作家,编剧
钢笔,中性笔
鸭舌帽,遮阳帽
双胞胎,龙凤胎
情人节,光棍节
丑小鸭,灰姑娘
富二代,高富帅
生活费,零花钱
麦克风,扩音器
郭德纲,周立波
图书馆,图书店
男朋友,前男友
洗衣粉,皂角粉
玫瑰,月季
董永,许仙
若曦,晴川
谢娜,李湘
孟非,乐嘉
牛奶,豆浆
保安,保镖
白菜,生菜
辣椒,芥末
赵敏,黄蓉
海豚,海狮
警察,捕快
结婚,订婚
奖牌,金牌
孟飞,乐嘉
那英,韩红
面包,蛋糕
作文,论文
油条,麻花
壁纸,贴画
金庸,古龙
枕头,抱枕
手机,座机
语无伦次,词不达意
鼠目寸光,井底之蛙
近视眼镜,隐形眼镜
夏家三千金,爱情睡醒了
降龙十八掌,九阴白骨爪
美人心计,倾世皇妃
红烧牛肉面,香辣牛肉面
江南style,最炫民族风
同学,同桌
婚纱,喜服
老佛爷,老天爷
魔术师,魔法师
沐浴露,沐浴盐
洗发露,护发素
自行车,电动车
班主任,辅导员
跳槽,辞职 
麦当劳,肯德基 
过山车,碰碰车
铁观音,碧螺春
笔记本电脑,台式电脑
十面埋伏,四面楚歌
可口可乐,百事可乐 
成吉思汗,努尔哈赤
QQ,MSN
谢娜张杰,邓超孙俪
中国联通,中国移动
福尔摩斯,工藤新一
避孕套,避孕药
卫生巾,卫生棉
贵妃醉酒,黛玉葬花
流星花园,花样男子
神雕侠侣,天龙八部
天天向上,快乐大本营
跑车,马车
勇往直前,全力以赴
鱼香肉丝,京酱肉丝
麻婆豆腐,皮蛋豆
橘子,橙子
美猴王,孙悟空
手机,电话
电脑,计算机
